GarageType,GarageYrBlt,GarageFinish,GarageQual,BsmtExposure,BsmtFinType2,BsmtFinType1,BsmtCond,BsmtQual,MasVnrArea,MasVnrType,Electrical,LotConfig,LandSlope,MSZoning,Foundation,ExterCond,ExterQual,Exterior2nd,Exterior1st,RoofMatl,RoofStyle,YearRemodAdd,YearBuilt,OverallCond,OverallQual,HouseStyle,BldgType,Condition2,BsmtFinSF1,LotArea,Street,LotShape,Condition1,Neighborhood,LandContour,Utilities,SaleCondition,HeatingQC,BsmtFinSF2,TotRmsAbvGrd,YrSold,MoSold,MiscVal,PoolArea,ScreenPorch,3SsnPorch,EnclosedPorch,OpenPorchSF,WoodDeckSF,PavedDrive,GarageArea,GarageCars,Fireplaces,Functional,KitchenQual,BsmtUnfSF,KitchenAbvGr,BedroomAbvGr,HalfBath,FullBath,BsmtHalfBath,BsmtFullBath,GrLivArea,LowQualFinSF,2ndFlrSF,1stFlrSF,CentralAir,SaleType,Heating,TotalBsmtSF,MSSubClass
Attchd,1993.0,RFn,TA,No,Unf,BLQ,TA,Gd,0.0,None,SBrkr,CulDSac,Gtl,RL,PConc,TA,Gd,HdBoard,HdBoard,CompShg,Gable,2003,1993,7,7,2Story,1Fam,Norm,402,9453,Pave,IR1,RRNe,SawyerW,Lvl,AllPub,Normal,Ex,0,7,2010,2,0,0,0,238,0,70,370,Y,457,2,0,Typ,Gd,594,1,3,1,2,0,0,1744,0,730,1014,Y,WD,GasA,996,60
Attchd,2007.0,Fin,TA,No,Unf,Unf,TA,Ex,254.0,BrkFace,SBrkr,Inside,Gtl,RL,PConc,TA,Ex,VinylSd,VinylSd,CompShg,Hip,2007,2007,5,8,1Story,1Fam,Norm,0,12030,Pave,Reg,Norm,NridgHt,Lvl,AllPub,Partial,Ex,0,7,2007,12,0,0,0,0,0,228,168,Y,818,3,0,Typ,Gd,1694,1,3,0,2,0,0,1694,0,0,1694,Y,New,GasA,1694,20
Detchd,1949.0,Unf,TA,No,Unf,LwQ,Fa,TA,0.0,None,FuseA,Inside,Gtl,RL,CBlock,TA,TA,VinylSd,VinylSd,CompShg,Gable,1950,1945,4,6,1.5Fin,1Fam,Norm,94,8741,Pave,Reg,Norm,Edwards,Lvl,AllPub,Normal,TA,0,7,2010,4,0,0,0,0,0,140,0,Y,220,1,1,Typ,TA,641,1,3,1,1,0,0,1487,0,689,798,Y,WD,GasA,735,50
Attchd,2008.0,RFn,TA,Av,Unf,GLQ,TA,Gd,36.0,Stone,SBrkr,Inside,Gtl,FV,PConc,TA,Gd,VinylSd,VinylSd,CompShg,Gable,2008,2008,5,8,1Story,1Fam,Norm,1078,9000,Pave,Reg,Norm,Somerst,Lvl,AllPub,Normal,Ex,0,7,2010,4,0,0,0,0,0,168,144,Y,750,2,0,Typ,Gd,488,1,3,0,2,0,1,1566,0,0,1566,Y,WD,GasA,1566,20
,,,,No,Unf,ALQ,TA,TA,0.0,None,SBrkr,Inside,Gtl,RM,CBlock,Gd,TA,VinylSd,VinylSd,CompShg,Gable,1997,1945,9,5,1Story,1Fam,Norm,329,3880,Pave,Reg,Norm,OldTown,Lvl,AllPub,Normal,Gd,0,4,2007,8,0,0,0,0,0,42,58,Y,0,0,0,Typ,Gd,357,1,2,0,1,0,0,866,0,0,866,Y,WD,GasA,686,30
Attchd,1940.0,Unf,Fa,No,Unf,Unf,TA,TA,0.0,None,FuseA,Corner,Gtl,RM,BrkTil,TA,TA,Wd Sdng,Wd Sdng,CompShg,Gable,1950,1900,4,5,1.5Fin,1Fam,Norm,0,5000,Pave,Reg,Norm,OldTown,Lvl,AllPub,Normal,Gd,0,6,2006,4,0,0,0,0,77,0,0,Y,352,1,0,Typ,TA,540,1,3,0,1,0,0,1440,0,551,889,N,WD,GasA,540,50
Attchd,1980.0,RFn,TA,No,Unf,Unf,TA,Gd,0.0,None,SBrkr,Corner,Gtl,RL,CBlock,TA,TA,Plywood,Plywood,CompShg,Gable,1980,1980,6,6,2Story,TwnhsE,Norm,0,10762,Pave,Reg,Norm,SawyerW,Lvl,AllPub,Normal,TA,0,6,2009,4,0,0,0,0,0,28,0,Y,288,1,1,Typ,TA,626,1,3,1,1,0,0,1217,0,591,626,Y,WD,GasA,626,160
Attchd,1994.0,RFn,TA,No,Unf,GLQ,TA,Gd,0.0,None,SBrkr,Inside,Gtl,RL,PConc,TA,Gd,VinylSd,VinylSd,CompShg,Gable,2002,1994,5,7,2Story,1Fam,Norm,695,8880,Pave,IR1,Norm,SawyerW,Lvl,AllPub,Normal,Ex,0,8,2010,5,0,0,0,0,0,130,0,Y,463,2,2,Typ,Gd,253,1,3,1,2,0,1,2110,0,888,1222,Y,WD,GasA,948,60
Attchd,1988.0,Fin,TA,Av,Unf,GLQ,TA,Gd,102.0,BrkFace,SBrkr,Inside,Gtl,RL,CBlock,TA,TA,Wd Sdng,Wd Sdng,CompShg,Gable,1988,1988,5,7,1Story,1Fam,Norm,929,10400,Pave,Reg,Norm,NWAmes,Lvl,AllPub,Normal,Gd,0,6,2006,6,0,0,0,0,0,39,197,Y,604,2,1,Typ,TA,916,1,3,0,2,1,0,1872,0,0,1872,Y,WD,GasA,1845,20
Detchd,1910.0,Unf,Po,No,Unf,Unf,TA,Fa,0.0,None,FuseP,Inside,Gtl,RM,Stone,Fa,TA,AsbShng,AsbShng,CompShg,Gable,1950,1910,8,6,2Story,2fmCon,Norm,0,9142,Pave,Reg,Norm,OldTown,Lvl,AllPub,Normal,Gd,0,9,2006,4,0,0,0,0,112,60,0,Y,440,1,0,Typ,Fa,1020,2,4,0,2,0,0,1928,0,1020,908,N,WD,GasA,1020,190
Attchd,1954.0,Unf,TA,No,Unf,Unf,TA,TA,0.0,None,SBrkr,Inside,Gtl,RL,CBlock,TA,TA,BrkFace,Wd Sdng,CompShg,Hip,1954,1954,5,6,1Story,1Fam,Norm,0,11310,Pave,Reg,Norm,NAmes,Lvl,AllPub,Normal,Ex,0,5,2006,6,0,0,0,0,0,30,0,Y,451,2,1,Typ,TA,1367,1,2,0,1,0,0,1375,0,0,1375,Y,WD,GasA,1367,20
Attchd,2003.0,RFn,TA,No,Unf,Unf,TA,Gd,101.0,BrkFace,SBrkr,Inside,Gtl,RL,PConc,TA,Gd,VinylSd,VinylSd,CompShg,Gable,2003,2003,5,7,2Story,1Fam,Norm,0,11317,Pave,Reg,Norm,CollgCr,Lvl,AllPub,Normal,Ex,0,8,2007,9,0,0,0,0,0,68,144,Y,500,2,0,Typ,Gd,840,1,3,1,2,0,0,1668,0,828,840,Y,WD,GasA,840,60
Attchd,1958.0,Fin,TA,Gd,Unf,Rec,TA,Gd,472.0,BrkCmn,SBrkr,CulDSac,Sev,RL,CBlock,TA,Gd,HdBoard,Wd Sdng,CompShg,Gable,2006,1958,7,6,1.5Fin,1Fam,Norm,697,159000,Pave,IR2,Norm,ClearCr,Low,AllPub,Normal,Gd,0,7,2007,6,500,0,0,0,0,98,0,Y,389,2,2,Typ,Gd,747,1,4,0,2,1,0,2144,0,700,1444,Y,WD,GasA,1444,50
,,,,No,Unf,Unf,TA,TA,0.0,None,SBrkr,Inside,Gtl,RL,CBlock,Po,TA,Plywood,Wd Sdng,CompShg,Gable,1966,1940,2,3,1Story,1Fam,Norm,0,5350,Pave,IR1,Norm,BrkSide,Lvl,AllPub,Normal,Ex,0,6,2010,5,450,0,0,0,0,0,263,Y,0,0,0,Mod,Fa,728,1,3,0,1,0,0,1306,0,0,1306,Y,WD,GasA,728,30
Attchd,2006.0,Fin,TA,Gd,Unf,GLQ,TA,Gd,481.0,Stone,SBrkr,Inside,Mod,RM,PConc,TA,Gd,VinylSd,VinylSd,CompShg,Hip,2007,2006,5,8,1Story,TwnhsE,Norm,1573,4750,Pave,IR1,Norm,Crawfor,HLS,AllPub,Family,Ex,0,5,2007,12,0,0,153,0,0,0,123,Y,538,2,1,Typ,Gd,0,1,2,0,2,1,1,1625,0,0,1625,Y,WD,GasA,1573,120
Attchd,2004.0,RFn,TA,No,Unf,Unf,TA,Gd,0.0,None,SBrkr,Inside,Gtl,RL,PConc,TA,Gd,VinylSd,VinylSd,CompShg,Gable,2004,2004,5,6,2Story,1Fam,Norm,0,8366,Pave,IR1,Norm,SawyerW,Lvl,AllPub,Normal,Ex,0,6,2008,12,0,0,0,0,0,45,138,Y,520,2,0,Typ,Gd,798,1,3,1,2,0,0,1640,0,842,798,Y,WD,GasA,798,60
Attchd,1964.0,RFn,TA,Gd,ALQ,LwQ,TA,Gd,108.0,BrkFace,SBrkr,Inside,Gtl,RL,CBlock,TA,TA,HdBoard,HdBoard,CompShg,Hip,1991,1964,7,6,SLvl,1Fam,Norm,270,9350,Pave,Reg,Norm,NAmes,Lvl,AllPub,Normal,Ex,580,7,2007,10,0,0,0,0,0,0,333,Y,309,1,0,Min1,Gd,452,1,3,0,2,1,0,1302,0,0,1302,Y,CWD,GasA,1302,80
Attchd,1957.0,RFn,TA,No,Unf,Rec,TA,TA,0.0,None,SBrkr,Inside,Gtl,RL,CBlock,Gd,TA,MetalSd,MetalSd,CompShg,Gable,1957,1957,6,5,1Story,1Fam,Norm,922,8400,Pave,Reg,Norm,NAmes,Lvl,AllPub,Normal,TA,0,5,2010,6,0,0,0,0,0,0,250,Y,294,1,0,Typ,TA,392,1,3,0,1,0,1,1314,0,0,1314,Y,WD,GasA,1314,20
BuiltIn,1999.0,Fin,TA,No,Unf,Unf,TA,Gd,302.0,BrkFace,SBrkr,Inside,Gtl,RL,PConc,TA,Gd,VinylSd,VinylSd,CompShg,Gable,1999,1999,5,7,2Story,1Fam,Norm,0,8738,Pave,IR1,Norm,Gilbert,Lvl,AllPub,Normal,Ex,0,8,2006,2,0,0,0,0,0,0,192,Y,429,2,1,Typ,Gd,975,1,4,1,2,0,0,2291,0,1286,1005,Y,WD,GasA,975,60
Attchd,2003.0,RFn,TA,No,Unf,Rec,TA,Gd,0.0,None,SBrkr,Inside,Gtl,FV,PConc,TA,Gd,VinylSd,VinylSd,CompShg,Gable,2003,2003,5,6,2Story,1Fam,Norm,503,8791,Pave,IR1,Norm,Somerst,Lvl,AllPub,Normal,Ex,0,7,2008,5,0,0,0,0,0,56,216,Y,673,2,0,Typ,Gd,361,1,3,1,2,0,0,1728,0,864,864,Y,WD,GasA,864,60
Attchd,2006.0,RFn,TA,No,Unf,GLQ,TA,Gd,180.0,Stone,SBrkr,Inside,Gtl,RL,PConc,TA,Gd,VinylSd,VinylSd,CompShg,Gable,2006,2006,5,7,1Story,1Fam,Norm,1334,8814,Pave,Reg,Norm,CollgCr,Lvl,AllPub,Abnorml,Ex,0,8,2009,3,0,0,0,0,0,110,123,Y,660,2,1,Typ,Gd,270,1,3,1,2,0,1,1604,0,0,1604,Y,WD,GasA,1604,20
Attchd,2001.0,RFn,TA,No,Unf,GLQ,TA,Gd,172.0,BrkFace,SBrkr,Inside,Gtl,RL,PConc,TA,Gd,VinylSd,VinylSd,CompShg,Gable,2001,2001,5,7,2Story,1Fam,Norm,361,12435,Pave,Reg,Norm,CollgCr,Lvl,AllPub,Normal,Ex,0,7,2008,5,0,0,0,245,0,96,0,Y,564,2,1,Typ,Gd,602,1,3,1,2,0,0,1792,0,829,963,Y,WD,GasA,963,60
Detchd,1956.0,Unf,TA,,,,,,0.0,None,FuseA,Inside,Gtl,RM,PConc,TA,TA,BrkFace,BrkFace,CompShg,Gable,1956,1956,5,5,1Story,1Fam,Norm,0,12702,Pave,Reg,Norm,OldTown,Lvl,AllPub,Normal,Gd,0,4,2008,12,0,0,0,0,0,45,0,Y,308,1,0,Typ,TA,0,1,2,0,1,0,0,882,0,0,882,Y,WD,GasA,0,20
Attchd,1991.0,Unf,TA,Gd,ALQ,Rec,TA,TA,399.0,BrkFace,SBrkr,Corner,Gtl,RL,CBlock,TA,TA,Wd Sdng,Wd Sdng,CompShg,Gable,1962,1962,5,6,SLvl,1Fam,Norm,672,19296,Pave,Reg,Artery,NAmes,Lvl,AllPub,Normal,TA,690,6,2009,5,0,0,0,0,252,0,0,Y,884,2,1,Typ,TA,0,1,3,0,1,0,1,1382,0,0,1382,Y,WD,GasA,1362,80
BuiltIn,2007.0,Fin,TA,No,Unf,Unf,TA,Ex,270.0,Stone,SBrkr,Inside,Gtl,RL,PConc,TA,Gd,CmentBd,CemntBd,CompShg,Gable,2007,2007,5,8,2Story,1Fam,Norm,0,9588,Pave,IR1,Norm,CollgCr,Lvl,AllPub,Partial,Ex,0,10,2007,11,0,0,0,0,0,148,0,Y,868,3,1,Typ,Ex,1482,1,3,1,2,0,0,2574,0,1092,1482,Y,New,GasA,1482,60
Attchd,1978.0,Unf,TA,Av,Unf,ALQ,Gd,Gd,46.0,BrkFace,SBrkr,Corner,Gtl,RL,CBlock,TA,TA,Plywood,HdBoard,CompShg,Gable,1995,1977,7,6,SLvl,1Fam,Norm,506,8471,Pave,IR1,Norm,Sawyer,Lvl,AllPub,Normal,TA,0,6,2006,7,0,0,0,0,0,12,292,Y,492,2,1,Typ,TA,0,1,3,0,1,0,1,1212,0,0,1212,Y,WD,GasA,506,80
Detchd,1974.0,Unf,TA,No,ALQ,LwQ,TA,TA,0.0,None,SBrkr,Corner,Gtl,RM,BrkTil,TA,TA,Wd Sdng,Wd Sdng,CompShg,Gable,2001,1929,7,5,1.5Fin,1Fam,Norm,234,5500,Pave,Reg,Norm,OldTown,Lvl,AllPub,Normal,TA,692,6,2010,4,0,0,0,0,0,0,0,Y,484,2,0,Typ,TA,0,1,3,0,1,0,1,1316,390,0,926,Y,WD,GasA,926,50
Detchd,1965.0,Unf,TA,No,Unf,Unf,TA,Fa,0.0,None,FuseP,Inside,Gtl,RM,BrkTil,TA,TA,Wd Sdng,Wd Sdng,CompShg,Gable,2004,1925,5,5,1Story,1Fam,Norm,0,5232,Pave,IR3,Artery,OldTown,Bnk,AllPub,Normal,Gd,0,4,2008,6,0,0,0,0,0,0,0,N,504,2,0,Typ,TA,680,1,2,0,1,0,0,764,0,0,764,N,WD,GasA,680,30
Attchd,1981.0,Fin,TA,No,LwQ,GLQ,TA,Gd,210.0,BrkFace,SBrkr,Inside,Gtl,RL,CBlock,Gd,TA,MetalSd,MetalSd,CompShg,Gable,1981,1981,6,6,1Story,1Fam,Norm,588,12090,Pave,IR1,Norm,NWAmes,Lvl,AllPub,Normal,TA,228,7,2008,6,0,0,0,0,0,0,276,Y,576,2,1,Typ,Gd,606,1,3,0,2,0,0,1422,0,0,1422,Y,WD,GasA,1422,20
Attchd,1997.0,Fin,TA,Av,Unf,GLQ,TA,Gd,0.0,None,SBrkr,FR2,Gtl,RL,PConc,TA,TA,VinylSd,VinylSd,CompShg,Gable,1997,1997,5,6,2Story,1Fam,Norm,714,11207,Pave,IR1,Norm,Gilbert,HLS,AllPub,Normal,Gd,0,8,2006,6,0,0,0,0,0,75,95,Y,413,2,1,Typ,TA,88,1,3,1,2,0,1,1511,0,709,802,Y,WD,GasA,802,60
Detchd,1939.0,Unf,TA,No,Unf,LwQ,TA,TA,0.0,None,SBrkr,Inside,Mod,RL,PConc,TA,TA,Wd Sdng,Wd Sdng,CompShg,Gable,1997,1939,8,5,2.5Fin,1Fam,Norm,378,8400,Pave,Reg,Norm,SWISU,Bnk,AllPub,Normal,Ex,0,8,2008,7,0,0,0,0,0,24,262,Y,240,1,1,Typ,Gd,342,1,4,1,2,0,0,2192,420,720,1052,Y,WD,GasA,720,75
Detchd,1966.0,Fin,Ex,No,Rec,ALQ,TA,TA,0.0,None,SBrkr,Inside,Gtl,RM,CBlock,TA,TA,VinylSd,VinylSd,CompShg,Gable,1955,1940,6,5,1Story,1Fam,Norm,403,6900,Pave,Reg,Norm,IDOTRR,Lvl,AllPub,Normal,Ex,125,4,2008,2,0,0,0,0,0,25,0,Y,924,1,1,Typ,TA,212,1,2,0,1,0,0,778,0,0,778,Y,WD,GasA,740,30
Attchd,1987.0,RFn,TA,No,Unf,BLQ,Gd,TA,174.0,BrkFace,SBrkr,Corner,Gtl,RL,CBlock,Gd,TA,HdBoard,HdBoard,CompShg,Hip,1976,1976,7,6,1Story,1Fam,Norm,751,7917,Pave,IR1,Norm,Edwards,Lvl,AllPub,Normal,TA,0,6,2007,5,0,0,0,0,0,30,370,Y,504,1,1,Typ,TA,392,1,3,1,1,0,1,1113,0,0,1113,Y,WD,GasA,1143,20
Attchd,2006.0,RFn,TA,Mn,Unf,Unf,TA,Gd,0.0,None,SBrkr,Inside,Gtl,FV,PConc,TA,Gd,VinylSd,VinylSd,CompShg,Gable,2006,2006,5,8,2Story,1Fam,Norm,0,10728,Pave,Reg,Norm,Somerst,Lvl,AllPub,Partial,Gd,0,8,2006,8,0,0,0,0,0,51,192,Y,1053,3,1,Typ,Gd,1095,1,3,1,2,0,0,1939,0,844,1095,Y,New,GasA,1095,60
Attchd,1954.0,Unf,TA,Gd,GLQ,LwQ,TA,Gd,0.0,None,SBrkr,CulDSac,Sev,RL,CBlock,TA,TA,Plywood,Plywood,Membran,Flat,2005,1954,7,7,1Story,1Fam,Norm,226,39104,Pave,IR1,Norm,ClearCr,Low,AllPub,Normal,Ex,1063,5,2008,4,0,0,0,0,0,0,81,Y,439,2,2,Mod,TA,96,1,2,0,1,0,1,1363,0,0,1363,Y,WD,GasA,1385,20
Attchd,1999.0,Fin,TA,No,Unf,GLQ,TA,Gd,348.0,BrkFace,SBrkr,CulDSac,Gtl,RL,PConc,TA,Gd,VinylSd,VinylSd,CompShg,Gable,2007,1999,7,8,2Story,1Fam,Norm,524,11764,Pave,IR1,Norm,NoRidge,Lvl,AllPub,Normal,Ex,0,9,2010,4,0,0,0,0,0,57,132,Y,671,3,1,Typ,Gd,628,1,4,1,2,0,0,2270,0,1106,1164,Y,WD,GasA,1152,60
Attchd,1958.0,RFn,TA,No,LwQ,Rec,TA,TA,183.0,BrkCmn,SBrkr,Inside,Gtl,RL,CBlock,TA,TA,Wd Sdng,Wd Sdng,CompShg,Hip,1988,1958,6,6,1Story,1Fam,Norm,620,9600,Pave,Reg,Feedr,NAmes,Lvl,AllPub,Normal,Gd,620,6,2009,4,0,0,0,0,0,0,289,Y,338,1,1,Min1,TA,0,1,3,0,2,0,1,1632,0,0,1632,Y,WD,GasA,1240,20
Attchd,1982.0,Unf,TA,Gd,Unf,ALQ,TA,TA,0.0,None,SBrkr,Corner,Gtl,RL,CBlock,TA,TA,ImStucc,HdBoard,CompShg,Gable,1982,1982,7,5,1Story,1Fam,Norm,546,8314,Pave,Reg,Norm,Mitchel,Lvl,AllPub,Normal,TA,0,5,2007,6,0,0,0,0,0,0,168,Y,264,1,0,Typ,TA,270,1,2,0,1,0,0,816,0,0,816,Y,WD,GasA,816,20
Detchd,1978.0,Unf,TA,No,Unf,Unf,TA,TA,0.0,None,SBrkr,Inside,Gtl,RL,BrkTil,Gd,Gd,Wd Sdng,Wd Sdng,CompShg,Gable,2007,1925,7,7,1.5Fin,1Fam,Norm,0,7264,Pave,Reg,Norm,BrkSide,Lvl,AllPub,Normal,Gd,0,5,2009,10,0,0,144,0,0,0,74,Y,672,2,0,Typ,Ex,952,1,3,1,2,0,0,1548,0,596,952,N,WD,GasW,952,50
Attchd,2003.0,Fin,TA,No,Unf,Unf,TA,Ex,0.0,None,SBrkr,Inside,Gtl,RL,PConc,TA,Gd,VinylSd,VinylSd,CompShg,Gable,2003,2003,5,7,1Story,1Fam,Norm,0,9196,Pave,IR1,Norm,Mitchel,Lvl,AllPub,Normal,Ex,0,7,2010,4,0,0,0,0,0,150,100,Y,573,2,0,Typ,Gd,1560,1,3,0,2,0,0,1560,0,0,1560,Y,WD,GasA,1560,20
Detchd,1951.0,Unf,TA,No,Unf,LwQ,TA,TA,0.0,None,SBrkr,Corner,Gtl,RL,CBlock,TA,TA,VinylSd,VinylSd,CompShg,Gable,1951,1951,5,4,1Story,1Fam,Norm,120,19138,Pave,Reg,Norm,Gilbert,Lvl,AllPub,Normal,Ex,0,4,2010,6,0,0,0,0,0,0,0,Y,400,2,0,Typ,TA,744,1,2,0,1,0,0,864,0,0,864,Y,WD,GasA,864,20
Attchd,2007.0,Fin,TA,Gd,Unf,Unf,TA,Ex,315.0,BrkFace,SBrkr,Inside,Gtl,RL,PConc,TA,Ex,CmentBd,CemntBd,CompShg,Gable,2007,2006,5,9,1Story,1Fam,Norm,0,14450,Pave,Reg,Norm,NridgHt,Lvl,AllPub,Partial,Ex,0,8,2007,5,0,0,142,0,0,98,124,Y,732,3,1,Typ,Ex,2121,1,3,1,2,0,0,2121,0,0,2121,Y,New,GasA,2121,20
Attchd,1977.0,Fin,TA,No,Unf,BLQ,TA,Gd,299.0,BrkFace,SBrkr,Inside,Gtl,RL,CBlock,TA,TA,Plywood,Plywood,CompShg,Hip,1977,1977,5,7,2Story,1Fam,Norm,392,10005,Pave,Reg,Norm,ClearCr,Lvl,AllPub,Normal,Ex,0,8,2008,3,0,0,0,0,0,117,288,Y,505,2,1,Typ,TA,768,1,4,1,2,0,0,2022,0,866,1156,Y,WD,GasA,1160,60
Attchd,1989.0,Fin,TA,Av,Unf,GLQ,TA,Gd,340.0,BrkFace,SBrkr,Inside,Gtl,RL,CBlock,TA,Gd,Plywood,Plywood,CompShg,Gable,1989,1989,6,7,2Story,1Fam,Norm,421,11287,Pave,Reg,Norm,SawyerW,Lvl,AllPub,Normal,Gd,0,7,2007,1,0,0,0,196,0,84,0,Y,575,2,1,Typ,Gd,386,1,3,1,2,0,0,1982,0,807,1175,Y,WD,GasA,807,60
Attchd,2006.0,Fin,TA,No,Unf,GLQ,TA,Gd,68.0,Stone,SBrkr,Inside,Gtl,FV,PConc,TA,Gd,VinylSd,VinylSd,CompShg,Gable,2006,2006,5,6,1Story,1Fam,Norm,905,7200,Pave,Reg,Norm,Somerst,Lvl,AllPub,Partial,Gd,0,5,2006,5,0,0,0,0,0,120,0,Y,572,2,0,Typ,Gd,357,1,2,0,2,0,0,1262,0,0,1262,Y,New,GasA,1262,20
Attchd,2008.0,RFn,TA,No,Unf,GLQ,TA,Gd,166.0,Stone,SBrkr,Inside,Gtl,RL,PConc,TA,Gd,VinylSd,VinylSd,CompShg,Gable,2008,2007,5,7,1Story,Twnhs,Norm,904,5063,Pave,Reg,Norm,NridgHt,Lvl,AllPub,Normal,Ex,0,6,2009,4,0,0,0,0,0,62,172,Y,626,2,1,Typ,Gd,410,1,2,0,2,0,1,1314,0,0,1314,Y,ConLw,GasA,1314,120
Attchd,2008.0,Fin,TA,No,Unf,Unf,TA,Gd,72.0,Stone,SBrkr,Inside,Gtl,RL,PConc,TA,Gd,VinylSd,VinylSd,CompShg,Gable,2009,2008,5,8,1Story,1Fam,Norm,0,9612,Pave,Reg,Feedr,Somerst,Lvl,AllPub,Partial,Ex,0,6,2009,12,0,0,0,0,0,150,210,Y,898,3,1,Typ,Gd,1468,1,3,0,2,0,0,1468,0,0,1468,Y,New,GasA,1468,20
Attchd,1992.0,RFn,TA,No,Unf,GLQ,TA,Gd,0.0,None,SBrkr,Inside,Gtl,RL,PConc,TA,Gd,ImStucc,Plywood,CompShg,Gable,1992,1992,5,6,1Story,TwnhsE,Norm,430,8012,Pave,Reg,Norm,SawyerW,Lvl,AllPub,Normal,Gd,0,5,2007,7,0,0,0,0,52,0,0,Y,529,2,0,Typ,Gd,1145,1,2,0,2,0,1,1575,0,0,1575,Y,WD,GasA,1575,120
Detchd,2006.0,RFn,TA,No,Unf,Unf,TA,Gd,0.0,None,SBrkr,Inside,Gtl,FV,PConc,TA,Gd,MetalSd,MetalSd,CompShg,Gable,2007,2006,5,7,2Story,TwnhsE,Norm,0,4251,Pave,IR1,Norm,Somerst,Lvl,AllPub,Partial,Ex,0,5,2007,6,0,0,0,0,0,54,0,Y,528,2,0,Typ,Gd,625,1,2,1,2,0,0,1250,0,625,625,Y,New,GasA,625,160
Attchd,1962.0,RFn,TA,No,Unf,Rec,TA,TA,0.0,None,SBrkr,Inside,Gtl,RL,CBlock,TA,TA,Wd Sdng,Wd Sdng,CompShg,Gable,1981,1962,7,6,1.5Fin,1Fam,Norm,600,9786,Pave,IR1,Norm,NAmes,Bnk,AllPub,Normal,TA,0,7,2006,6,0,0,128,0,0,0,0,Y,440,2,1,Typ,Gd,312,1,3,1,1,0,0,1734,0,649,1085,Y,WD,GasA,912,50
,,,,No,Unf,BLQ,TA,TA,0.0,None,SBrkr,Corner,Gtl,RL,CBlock,TA,TA,HdBoard,HdBoard,CompShg,Gable,1971,1971,4,4,1Story,1Fam,Norm,614,8125,Pave,IR1,Norm,NAmes,Lvl,AllPub,Normal,TA,0,5,2006,6,0,0,0,0,0,0,0,Y,0,0,0,Typ,TA,244,1,3,0,1,0,0,858,0,0,858,Y,WD,GasA,858,20
Detchd,1970.0,Unf,TA,No,Unf,BLQ,TA,TA,31.0,BrkFace,SBrkr,Inside,Gtl,RL,CBlock,Gd,TA,MetalSd,MetalSd,CompShg,Gable,1967,1967,5,5,1Story,1Fam,Norm,450,9819,Pave,IR1,Norm,Sawyer,Lvl,AllPub,Normal,TA,0,5,2010,2,0,0,0,0,0,0,0,Y,280,1,0,Typ,TA,432,1,3,0,1,0,0,900,0,0,900,Y,WD,GasA,882,20
Detchd,2003.0,Unf,TA,No,Unf,Unf,TA,TA,0.0,None,FuseA,Inside,Gtl,RL,BrkTil,TA,TA,Wd Sdng,Wd Sdng,CompShg,Gable,2003,1915,7,6,2Story,1Fam,Norm,0,8730,Pave,Reg,RRAn,BrkSide,Lvl,AllPub,Normal,Ex,0,7,2007,7,0,0,259,0,0,0,0,Y,384,1,0,Typ,TA,698,1,3,0,1,0,0,1396,0,698,698,Y,WD,GasA,698,70
Attchd,2006.0,RFn,Gd,Av,Unf,Unf,TA,Gd,0.0,None,SBrkr,Inside,Gtl,RL,PConc,TA,Gd,VinylSd,VinylSd,CompShg,Gable,2006,2006,5,8,2Story,1Fam,Norm,0,15611,Pave,Reg,Norm,CollgCr,Lvl,AllPub,Partial,Ex,0,8,2006,7,0,0,0,0,0,51,0,Y,685,2,1,Typ,Gd,1079,1,3,1,2,0,0,1919,0,840,1079,Y,New,GasA,1079,60
,,,,No,Unf,Rec,Fa,TA,0.0,None,SBrkr,Inside,Gtl,RL,PConc,Fa,TA,VinylSd,VinylSd,CompShg,Gable,2000,1912,6,5,2Story,2fmCon,Norm,210,5687,Pave,Reg,Norm,SWISU,Bnk,AllPub,Normal,Ex,0,9,2008,3,0,0,0,0,0,184,0,N,0,0,0,Typ,Fa,570,1,6,0,2,0,1,1716,0,780,936,N,WD,GasA,780,190
Attchd,1949.0,Unf,TA,No,Unf,LwQ,TA,TA,0.0,None,SBrkr,Inside,Gtl,RL,CBlock,TA,TA,Wd Sdng,Wd Sdng,CompShg,Gable,2008,1949,4,5,1.5Fin,1Fam,Norm,292,11409,Pave,Reg,Norm,Edwards,Lvl,AllPub,Normal,Gd,0,8,2009,1,0,0,160,0,0,0,0,Y,281,1,1,Min2,TA,476,1,3,1,1,0,0,1716,0,568,1148,Y,WD,GasA,768,50
Attchd,1977.0,Fin,TA,No,Unf,ALQ,TA,TA,34.0,BrkFace,SBrkr,Corner,Gtl,RL,CBlock,TA,TA,Plywood,Plywood,CompShg,Gable,1994,1977,7,7,2Story,1Fam,Norm,795,16659,Pave,IR1,PosA,NWAmes,Lvl,AllPub,Normal,Fa,0,9,2006,3,0,0,0,0,0,250,0,Y,539,2,1,Typ,Gd,0,1,3,1,2,0,1,2263,0,795,1468,Y,WD,GasA,795,60
